,Area,Rooms,Yard,Floors,Owners,Year,Basement,Attic,Garage,Storage,Guest,Price
0,75523,3,0,63,8,2005,4313,9005,956,0,7,7559081.5
1,80771,39,1,98,6,2015,3653,2436,128,1,2,8085989.5
2,55712,58,0,19,8,2021,2937,8852,135,1,9,5574642.1
3,32316,47,0,6,4,2012,659,7141,359,0,3,3232561.2
4,70429,19,1,90,7,1990,8435,2429,292,1,4,7055052.0
5,39223,36,0,17,6,2012,2009,4552,757,0,1,3926647.2
6,58682,10,1,99,9,1995,5930,9453,848,0,5,5876376.5
7,86929,100,1,11,4,2003,6326,4748,654,0,10,8696869.3
8,51522,3,0,61,3,2012,632,5792,807,1,5,5154055.2
9,39686,42,0,15,8,2021,5198,5342,591,1,3,3970892.1
10,23563,21,0,90,8,1993,703,852,684,1,10,2366397.3
11,96470,74,1,21,2,2011,5414,1172,716,1,9,9652258.1
12,19127,31,1,5,9,2008,5387,4430,374,0,4,1914688.8
13,13087,44,1,77,4,2004,1745,724,582,0,0,1320803.4
14,79770,3,0,69,5,2018,8871,7117,240,0,7,7986665.8
15,75985,60,1,67,9,2009,4878,281,384,1,5,7607322.9
16,64169,88,0,6,9,2011,3054,129,726,0,9,6420823.1
17,99371,31,1,16,8,2013,3258,6296,354,1,8,9944705.3
18,25966,37,1,17,1,2016,8257,2557,162,0,6,2604486.6
19,41792,43,1,10,5,2017,2950,9573,572,1,5,4187667.7
20,28795,64,1,50,4,2009,9862,2666,330,1,0,2888047.9
21,92383,12,0,78,7,2000,7507,9056,892,1,1,9244344.0
22,33279,64,1,65,2,2019,2427,717,732,0,1,3333351.9
23,34782,47,0,73,4,2020,9586,6604,822,0,2,3482594.0
24,13386,51,0,90,6,1993,2885,1149,904,1,4,1342509.3
25,20883,56,0,54,9,2018,9982,8142,670,1,10,2091505.8
26,95121,46,0,3,9,1994,615,1221,328,0,10,9515440.4
27,6071,72,1,14,6,2003,3306,3635,295,0,2,612471.3
28,11844,43,0,55,5,1993,5292,8233,395,0,10,1189939.3
29,52078,7,1,73,4,2016,1864,2049,558,0,5,5217708.6
30,25897,98,1,92,4,1993,9799,9569,116,1,10,2598763.3
31,85443,40,1,54,1,2021,3056,8928,292,1,2,8555234.1
32,11412,78,0,79,5,2009,6899,8997,695,0,0,1145642.9
33,97550,89,1,98,5,2014,5391,897,388,0,0,9765099.4
34,76485,47,1,9,9,2008,2860,3129,982,0,1,7653300.8
35,26169,29,0,62,7,1993,7918,187,919,1,9,2622399.3
36,24239,87,1,91,7,1998,6656,7149,698,0,3,2427801.8
37,36239,8,0,24,6,1990,6679,6528,798,1,5,3627708.0
38,10500,88,0,49,1,2013,4170,5501,422,0,5,1057021.3
39,87060,27,0,91,10,2000,6629,435,512,0,7,8711426.0
40,66683,19,1,6,2,2001,7473,796,237,1,3,6677649.1
41,66569,59,1,56,9,2016,2020,7188,269,1,10,6667802.6
42,84559,29,0,69,7,2000,3573,9556,918,1,8,8460604.0
43,28749,39,0,53,5,1996,8113,2352,982,1,3,2877997.6
44,76091,38,1,32,8,2016,8150,6037,930,0,7,7614076.6
45,92696,49,1,38,2,2021,1559,5111,957,1,2,9272740.1
46,46988,66,1,27,10,1991,8339,6331,874,1,4,4707341.1
47,48062,22,0,4,10,2008,7908,552,817,1,1,4809993.8
48,5767,97,1,11,3,1998,2516,5601,307,1,4,586742.8
49,59800,47,0,27,9,2021,5075,3104,864,0,4,5984462.1
50,54836,25,0,53,5,2020,5278,1059,313,1,6,5492532.0
51,54318,10,1,52,2,1998,9580,3787,227,1,1,5444967.8
52,70021,52,1,28,6,1992,4480,6919,680,1,1,7005572.2
53,54368,11,1,20,7,2021,231,1939,223,0,8,5446398.1
54,31421,29,0,68,3,1999,8949,2080,630,0,5,3147829.9
55,63053,6,1,28,1,1997,8414,6270,939,1,8,6315375.7
56,4187,89,0,17,6,1994,186,2627,559,1,2,421906.4
57,33108,82,0,83,10,2016,6250,8751,552,1,2,3316069.6
58,64393,8,0,51,1,1990,3835,2403,559,0,6,6441378.0
59,93876,60,0,70,1,1999,4086,5991,494,1,8,9390891.9
60,67040,60,1,22,8,1993,4817,5222,927,0,0,6714247.3
61,47938,17,0,68,1,2013,327,209,352,1,8,4797883.3
62,39090,57,1,74,9,2010,3572,8722,811,1,6,3917691.0
63,43609,66,0,55,9,2005,3388,2353,120,1,7,4364910.5
64,41998,74,1,17,1,1990,6838,4925,828,0,9,4203344.0
65,36496,9,0,47,1,2017,2768,6291,230,1,0,3656368.7
66,84016,15,1,55,7,2016,3284,9879,641,0,2,8410054.6
67,3087,27,1,94,10,2005,5866,3557,199,1,1,321717.5
68,89768,48,1,17,9,1993,2485,108,864,0,7,8980518.3
69,30226,74,1,87,9,2007,515,13,223,0,4,3039243.7
70,58478,5,0,35,10,2016,8366,4799,979,1,7,5853710.6
71,66621,48,0,89,1,1995,5024,8103,388,1,4,6666403.5
72,73314,43,0,38,1,2018,3281,5020,968,0,8,7336538.8
73,59972,28,0,18,8,2021,8384,7226,226,1,4,6000826.1
74,71591,20,1,58,4,1998,6486,3310,366,0,0,7165980.8
75,92462,52,1,46,6,2019,9584,8587,677,0,8,9257840.9
76,52325,60,1,24,5,1992,8987,3149,808,1,4,5238533.2
77,67311,67,0,10,3,1990,6928,7808,774,1,5,6732249.0
78,45050,99,0,87,8,2013,5218,8217,144,0,3,4508695.3
79,61534,73,1,97,5,2001,9265,8974,755,1,6,6159875.1
80,84091,50,0,72,5,1993,2668,4669,766,0,8,8414104.3
81,77579,69,1,97,1,1999,4850,5648,144,1,8,7767797.9
82,25204,31,1,37,10,2020,6560,4287,116,0,6,2530488.0
83,42059,46,0,62,3,2017,8827,1853,860,1,3,4212125.7
84,38430,43,0,51,4,2021,1214,606,289,0,8,3846214.1
85,7069,4,0,89,2,2009,7499,8969,493,1,3,709107.9
86,34780,75,0,9,5,2019,3033,6475,800,1,4,3480536.9
87,12757,100,1,7,8,2020,6795,9983,738,0,5,1277834.0
88,33749,74,0,38,7,1999,1729,7952,616,1,2,3380855.9
89,600,37,1,43,7,2011,6738,5603,866,0,1,63402.1
90,7239,61,1,83,7,1994,7782,2518,986,0,4,733776.4
91,34919,20,1,84,1,1997,6566,628,408,0,2,3499532.7
92,25614,29,0,27,1,1994,700,377,519,1,9,2563970.4
93,51434,64,0,23,2,2012,2080,9575,753,0,7,5146226.2
94,78960,55,0,76,4,2015,7126,5012,974,1,0,7900996.5
