age,job,marital,education,balance,housing,loan,day,month,duration,contact_count,previous,outcome
58,management,married,tertiary,2143,1,0,5,5,261,1,0,0
44,technician,single,secondary,29,1,0,5,5,151,1,0,0
33,entrepreneur,married,secondary,2,1,1,5,5,76,1,0,0
35,management,married,tertiary,231,1,0,5,5,139,1,0,0
28,management,single,tertiary,447,1,1,5,5,217,1,0,0
42,entrepreneur,divorced,tertiary,2,1,0,5,5,380,1,0,0
58,retired,married,primary,121,1,0,5,5,50,1,0,0
43,technician,single,secondary,593,1,0,5,5,55,1,0,0
41,admin.,divorced,secondary,270,1,0,5,5,222,1,0,0
29,admin.,single,secondary,390,1,0,5,5,137,1,0,0
53,technician,married,secondary,6,1,0,5,5,517,1,0,0
57,services,married,secondary,162,1,0,5,5,174,1,0,0
51,retired,married,primary,229,1,0,5,5,353,1,0,0
57,blue-collar,married,primary,52,1,0,5,5,38,1,0,0
60,retired,married,primary,60,1,0,5,5,219,1,0,0
33,services,married,secondary,0,1,0,5,5,54,1,0,0
28,blue-collar,married,secondary,723,1,1,5,5,262,1,0,0
56,management,married,tertiary,779,1,0,5,5,164,1,0,0
32,blue-collar,single,primary,23,1,1,5,5,160,1,0,0
25,services,married,secondary,50,1,0,5,5,342,1,0,0
40,retired,married,primary,0,1,1,5,5,181,1,0,0
44,admin.,married,secondary,-372,1,0,5,5,172,1,0,0
39,management,single,tertiary,255,1,0,5,5,296,1,0,0
52,entrepreneur,married,secondary,113,1,1,5,5,127,1,0,0
46,management,single,secondary,-246,1,0,5,5,255,2,0,0
36,technician,single,secondary,265,1,1,5,5,348,1,0,0
57,technician,married,secondary,839,0,1,5,5,225,1,0,0
49,management,married,tertiary,378,1,0,5,5,230,1,0,0
60,admin.,married,secondary,39,1,1,5,5,208,1,0,0
59,blue-collar,married,secondary,0,1,0,5,5,226,1,0,0
51,management,married,tertiary,10635,1,0,5,5,336,1,0,0
57,technician,divorced,secondary,63,1,0,5,5,242,1,0,0
