season,month,holiday,weekday,workingday,weather,temp,hum,wind,registered,cnt,day
1,1,0,7,0,2,14.110847,80.5833,10.749882,31771,985,1
1,1,0,1,0,2,14.902598,69.6087,16.652113,32548,801,1
1,1,0,2,1,1,8.050924,43.7273,16.636703,59704,1349,1
1,1,0,3,1,1,8.2,59.0435,10.739832,70635,1562,1
1,1,0,4,1,1,9.305237,43.6957,12.5223,73744,1600,1
1,1,0,5,1,1,8.378268,51.8261,6.0008684,73744,1606,1
1,1,0,6,1,2,8.057402,49.8696,11.304642,66165,1510,1
1,1,0,7,0,2,6.765,53.5833,17.875868,43284,959,1
1,1,0,1,0,1,5.671653,43.4167,24.25065,37309,822,1
1,1,0,2,1,1,6.184153,48.2917,14.958889,62182,1321,1
1,1,0,3,1,2,6.932731,68.6364,8.182844,59267,1263,1
1,1,0,4,1,1,7.081807,59.9545,20.410009,55235,1162,1
1,1,0,5,1,1,6.765,47.0417,20.167,66457,1406,13
1,1,0,6,1,1,6.59567,53.7826,8.478716,66408,1421,14
1,1,0,7,0,2,9.566653,49.875,10.583521,49843,1248,15
1,1,0,1,0,1,9.498347,48.375,12.625011,46296,1204,16
1,1,1,2,0,2,7.209153,53.75,12.999139,42896,1000,17
1,1,0,3,1,2,8.883347,86.1667,9.833925,32742,683,18
1,1,0,4,1,2,11.979134,74.1739,13.957239,76367,1650,19
1,1,0,5,1,2,10.728347,53.8333,13.125568,89581,1927,20
1,1,0,6,1,1,7.2775,45.7083,23.667214,71315,1543,21
1,1,0,7,0,1,2.4243464,40.0,11.52199,43139,981,22
1,1,0,1,0,1,3.9573897,43.6522,16.5222,40612,986,23
1,1,0,2,1,1,3.9930433,49.1739,10.60811,64611,1416,24
1,1,0,3,1,2,9.162598,61.6957,8.696332,87395,1985,25
1,1,0,4,1,3,8.9175,86.25,19.68795,22929,506,26
1,1,0,5,1,1,7.995,68.75,7.627079,20209,431,27
1,1,0,6,1,2,8.342598,79.3043,8.2611,54846,1167,28
1,1,0,7,0,1,8.057402,65.1739,9.739455,47365,1098,29
1,1,0,1,0,1,8.877402,72.2174,4.9568342,46442,1096,30
1,1,0,2,1,2,7.414153,60.375,12.541864,70878,1501,31
1,2,0,3,1,2,7.879134,82.9565,3.565271,63785,1360,2
1,2,0,4,1,2,10.66,77.5417,17.708636,70635,1526,2
1,2,0,5,1,1,7.665237,43.7826,18.609384,72335,1550,2
1,2,0,6,1,2,8.663464,58.5217,8.565213,78699,1708,2
1,2,0,7,0,2,9.566653,92.9167,10.792293,43964,1005,2
1,2,0,1,0,1,11.719153,56.8333,9.5006,61648,1623,2
1,2,0,2,1,1,11.138347,73.8333,3.0423561,77339,1712,2
1,2,0,3,1,1,9.054153,53.7917,24.25065,71218,1530,2
1,2,0,4,1,2,5.526103,49.4783,12.652213,75396,1605,2
1,2,0,5,1,1,5.918268,43.7391,14.869645,72432,1538,2
1,2,0,6,1,1,7.752731,50.6364,7.27285,77582,1746,2
1,2,0,7,0,1,9.1225,54.4167,13.625589,57518,1472,2
1,2,0,1,0,1,12.977402,45.7391,17.479161,57907,1589,13
1,2,0,2,1,1,17.015,37.5833,27.999836,82828,1913,14
1,2,0,3,1,1,10.909567,31.4348,19.522058,81371,1815,15
1,2,0,4,1,1,13.048701,42.3478,16.869997,92156,2115,16
1,2,0,5,1,1,17.869153,50.5,15.416968,107653,2475,17
1,2,0,6,1,1,21.388347,51.6667,17.749975,114065,2927,18
1,2,0,7,0,1,16.365847,18.7917,34.000021,53583,1635,19
1,2,0,1,0,1,11.693897,40.7826,14.956745,56984,1812,20
1,2,1,2,0,2,12.436653,60.5,20.625682,44304,1107,21
